RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
,Zeke NnajiDEN,PF,41,17.0,6.6,2.3,4.5,51.6,0.9,2.0,46.3,1.0,1.6,63.1,3.6,0.4,0.4,0.3,0.6,0,0,13.53
,Mason PlumleeCHA,C,73,24.6,6.5,2.8,4.4,64.1,0.0,0.0,0.0,0.9,2.3,39.2,7.7,3.1,0.8,0.7,1.4,7,0,14.72
,BJ JohnsonORL,F,4,16.3,6.5,2.8,6.3,44.0,1.0,2.5,40.0,0.0,0.0,0.0,3.8,0.0,0.0,0.3,0.0,0,0,12.15
,JaMychal GreenDEN,F,67,16.2,6.4,2.4,4.9,48.6,0.5,1.9,26.6,1.2,1.4,87.1,4.2,0.9,0.6,0.4,0.9,1,0,14.18
,Josh JacksonSAC/DET,SG,51,16.3,6.4,2.4,5.9,40.0,0.6,2.5,25.4,1.1,1.5,71.4,2.8,1.1,0.5,0.4,0.9,0,0,9.50
,Blake GriffinBKN,PF,56,17.1,6.4,2.4,5.6,42.5,0.7,2.6,26.2,1.0,1.4,72.4,4.1,1.9,0.5,0.3,0.6,1,0,13.77
,Brandon KnightDAL,PG,5,13.0,6.4,2.0,5.0,40.0,0.8,3.4,23.5,1.6,1.6,100.0,1.6,1.6,0.2,0.0,0.8,0,0,13.00
,Justin AndersonIND/CLE,F,16,19.8,6.4,2.3,5.9,37.9,0.9,3.7,25.4,0.9,1.2,78.9,2.9,2.1,0.5,0.4,0.5,0,0,10.39
,Isaiah LiversDET,PF,19,20.2,6.4,2.2,4.7,45.6,1.4,3.4,42.2,0.6,0.7,85.7,3.0,1.1,0.7,0.4,0.8,1,0,11.15
,Avery BradleyLAL,PG,62,22.7,6.4,2.4,5.6,42.3,1.3,3.4,39.0,0.3,0.3,88.9,2.2,0.8,0.9,0.1,0.6,0,0,7.87
,Aaron HolidayWSH/PHX,G,63,16.2,6.3,2.4,5.4,44.7,0.6,1.6,37.9,0.9,1.1,86.8,1.9,2.4,0.7,0.1,1.1,0,0,12.59
,Derrick Walton Jr.DET,G,3,36.0,6.3,2.0,8.7,23.1,1.0,4.3,23.1,1.3,1.3,100.0,3.3,7.0,2.3,1.3,3.7,0,0,5.90
,Lou WilliamsATL,SG,56,14.3,6.3,2.2,5.7,39.1,0.7,1.8,36.3,1.2,1.4,85.9,1.6,1.9,0.5,0.1,0.8,0,0,12.17
,Ish SmithWSH/CHA,PG,65,17.3,6.3,2.8,6.6,43.0,0.4,1.0,37.3,0.2,0.4,62.5,2.2,3.8,0.7,0.4,1.2,1,0,12.58
,Dewayne DedmonMIA,C,67,15.9,6.3,2.4,4.3,56.6,0.3,0.7,40.4,1.1,1.5,75.0,5.8,0.7,0.4,0.6,1.0,3,0,15.90
,Hassani GravettORL,PG,8,21.4,6.3,2.3,4.8,47.4,1.4,3.3,42.3,0.4,0.5,75.0,2.6,2.5,0.6,0.1,1.1,0,0,10.10
,Vit KrejciOKC,G,30,23.0,6.2,2.3,5.6,40.7,1.1,3.3,32.7,0.6,0.7,86.4,3.4,1.9,0.6,0.3,1.0,1,0,8.52
,Payton PritchardBOS,PG,71,14.1,6.2,2.3,5.3,42.9,1.4,3.5,41.2,0.3,0.3,100.0,1.9,2.0,0.3,0.1,0.6,0,0,14.95
,Dwight HowardLAL,C,60,16.2,6.2,2.2,3.7,61.2,0.1,0.3,53.3,1.6,2.4,65.8,5.9,0.6,0.6,0.6,0.8,5,0,18.25
,Chaundee Brown Jr.ATL/LAL,G,5,20.8,6.2,2.0,6.4,31.3,1.2,3.6,33.3,1.0,1.2,83.3,3.2,0.8,0.4,0.0,0.2,0,0,6.47
,Thaddeus YoungSA/TOR,PF,52,16.3,6.2,2.7,5.2,51.8,0.3,0.9,35.4,0.4,0.9,46.9,4.0,2.0,1.0,0.3,1.0,0,0,17.09
,Day'Ron SharpeBKN,C,32,12.2,6.2,2.7,4.7,57.7,0.1,0.2,28.6,0.8,1.3,58.5,5.0,0.5,0.3,0.5,0.9,2,0,20.74
,George HillMIL,PG,54,23.2,6.2,2.2,5.1,42.9,0.8,2.5,30.6,1.1,1.1,91.9,2.9,2.2,0.8,0.1,0.8,0,0,10.25
,Jalen McDanielsCHA,PF,55,16.3,6.2,2.2,4.6,48.4,0.7,2.0,38.0,1.0,1.3,73.6,3.1,1.1,0.5,0.4,0.7,1,0,12.78
,Jose AlvaradoNO,PG,54,15.4,6.1,2.4,5.4,44.6,0.6,2.0,29.1,0.7,1.0,67.9,1.9,2.8,1.3,0.1,0.7,1,0,16.46
,Nemanja BjelicaGS,PF,71,16.1,6.1,2.3,4.8,46.8,0.8,2.1,36.2,0.8,1.1,72.8,4.1,2.2,0.6,0.4,1.2,3,0,14.20
,Lamar StevensCLE,F,63,16.1,6.1,2.5,5.1,48.9,0.3,1.0,27.7,0.8,1.2,70.7,2.6,0.7,0.5,0.3,0.7,0,0,11.33
,Tristan ThompsonIND/SAC/CHI,C,57,15.7,6.0,2.5,4.7,52.8,0.0,0.1,33.3,1.1,2.0,52.6,5.1,0.6,0.4,0.4,0.8,1,0,14.90
,Alex LenSAC,C,39,15.9,6.0,2.4,4.5,53.4,0.2,0.5,28.6,1.1,1.6,65.1,4.1,1.2,0.3,0.6,1.1,2,0,13.16
,Austin RiversDEN,SG,67,22.1,6.0,2.2,5.2,41.7,1.2,3.4,34.2,0.5,0.7,72.7,1.7,1.3,0.8,0.1,0.8,0,0,7.24
,Kevon LooneyGS,C,82,21.1,6.0,2.5,4.4,57.1,0.0,0.0,0.0,0.9,1.5,60.0,7.3,2.0,0.6,0.6,0.8,5,0,15.78
,Tre JonesSA,PG,69,16.6,6.0,2.4,4.9,49.0,0.1,0.7,19.6,1.0,1.3,78.0,2.2,3.4,0.6,0.1,0.7,3,0,15.01
,Quentin GrimesNY,SG,46,17.1,6.0,2.1,5.1,40.4,1.6,4.1,38.1,0.3,0.4,68.4,2.0,1.0,0.7,0.2,0.6,0,0,10.77
,Kessler EdwardsBKN,SF,48,20.6,5.9,2.3,5.6,41.2,1.0,2.8,35.3,0.3,0.4,84.2,3.6,0.6,0.6,0.5,0.9,1,0,8.36
